Passage,Question,Choices
"In 1977 the prestigious Ewha Womens University in Seoul, Korea, announced the opening 
of the first womens studies program in Asia. Few academic programs have eve r received such 
public attention. In broadcast debates, critics dismissed the program as a betrayal of national 
identity, an imitation of Western ideas, and a distraction from the real task of national 
unification and economic development. Even supporters underestimated the program; they 
thought it would be merely another of the many Western ideas that had already proved useful 
in Asian culture, akin to airlines, electricity, and the assembly line. The founders of the program, 
however, realized that neither  view was correct. They had some reservations about the 
applicability of Western feminist theories to the role of women in Asia and felt that such theories 
should be closely examined. Their approach has thus far  yielded important critiques o f Western 
theory, informed by the special experience of Asian women.  
For instance, like the Western feminist critique of the Freudian model of the human psyche, 
the Korean critique finds Freudian theory culture -bound, but in ways different from those cited  
by Western theorists. The Korean theorists claim that Freudian theory assumes the universality 
of the Western nuclear, male -headed family and focuses on the personality formation of the 
individual, independent of  society . An analysis based on such assumptions could be valid for a 
highly competitive, individualistic society. In the Freudian family drama , family members are 
assumed to be engaged in a Darwinian struggle against each other father against son and 
sibling against sibling. Such a concept projects the competitive model of Western society onto 
human personalities. But in the Asian concept of personal ity there is no ideal attached to 
individualism or to the independent self. The Western model of personality development does 
not explain major characteristics of the Korean personality, which is social and group -centered. 
The self is a social being defi ned by and acting in a group, and the well -being of both men 
and women is determined by the equilibrium of the group, not by individual self-assertion . The 
ideal is one of interdependency.  
In such a context, what is recognized as dependency in Western psychiatric terms is not, 
in Korean terms, an admission of weakness or failure. All this bears directly on the Asian 
perception o f mens and womens psychology because men are also dependent . In Korean 
culture, men cry and otherwise easily show their emotions, something that might be considered 
a betrayal of masculinity in Western culture. In the kinship -based society of Korea, fo ur 
generations may live in the same house, which means that people can be sons and daughters 
all their lives, whereas in Western culture, the roles of husband and son, wife and daughter, are 
often incompatible.  68 GMAT, GRE, LSAT","(C) It acknowledges the universality of the nuclear, male -headed family.  
(D) It challenges Freuds analysis of the role of daughters in Western soc iety. 
(E) It fails to address the issue of competitiveness in Western society.","{'Choice 0': 'It acknowledges the universality of the nuclear, male -headed family.', 'Choice 1': 'It challenges Freuds analysis of the role of daughters in Western soc iety.', 'Choice 2': 'It fails to address the issue of competitiveness in Western society.'}"
"In 1977 the prestigious Ewha Womens University in Seoul, Korea, announced the opening 
of the first womens studies program in Asia. Few academic programs have eve r received such 
public attention. In broadcast debates, critics dismissed the program as a betrayal of national 
identity, an imitation of Western ideas, and a distraction from the real task of national 
unification and economic development. Even supporters underestimated the program; they 
thought it would be merely another of the many Western ideas that had already proved useful 
in Asian culture, akin to airlines, electricity, and the assembly line. The founders of the program, 
however, realized that neither  view was correct. They had some reservations about the 
applicability of Western feminist theories to the role of women in Asia and felt that such theories 
should be closely examined. Their approach has thus far  yielded important critiques o f Western 
theory, informed by the special experience of Asian women.  
For instance, like the Western feminist critique of the Freudian model of the human psyche, 
the Korean critique finds Freudian theory culture -bound, but in ways different from those cited  
by Western theorists. The Korean theorists claim that Freudian theory assumes the universality 
of the Western nuclear, male -headed family and focuses on the personality formation of the 
individual, independent of  society . An analysis based on such assumptions could be valid for a 
highly competitive, individualistic society. In the Freudian family drama , family members are 
assumed to be engaged in a Darwinian struggle against each other father against son and 
sibling against sibling. Such a concept projects the competitive model of Western society onto 
human personalities. But in the Asian concept of personal ity there is no ideal attached to 
individualism or to the independent self. The Western model of personality development does 
not explain major characteristics of the Korean personality, which is social and group -centered. 
The self is a social being defi ned by and acting in a group, and the well -being of both men 
and women is determined by the equilibrium of the group, not by individual self-assertion . The 
ideal is one of interdependency.  
In such a context, what is recognized as dependency in Western psychiatric terms is not, 
in Korean terms, an admission of weakness or failure. All this bears directly on the Asian 
perception o f mens and womens psychology because men are also dependent . In Korean 
culture, men cry and otherwise easily show their emotions, something that might be considered 
a betrayal of masculinity in Western culture. In the kinship -based society of Korea, fo ur 
generations may live in the same house, which means that people can be sons and daughters 
all their lives, whereas in Western culture, the roles of husband and son, wife and daughter, are 
often incompatible.  68 GMAT, GRE, LSAT","According to the passage, critics of the Ewha womens studies program cited the 
program as a threat to which of the following?  
I. National identity  
II. National unification  
III. Economic development  
IV . Family integrity","{'Choice 0': 'I only', 'Choice 1': 'I and II only', 'Choice 2': 'I, II, and III only', 'Choice 3': 'II, III, and IV only', 'Choice 4': 'I, II, III , and IV 70 GMAT, GRE, LSAT'}"
"In choosing a method for determining climatic conditions that existed in the past, 
paleoc limatologists invoke four principal criteria. First, the material rocks, lakes, vegetation, 
etc.on which the method relies must be widespread enough to provide plenty of information, 
since analysis of material that is rarely encountered will not permit co rrelation with other 
regions or with other periods of geological history. Second, in the process of formation, the 
material must have received an environmental signal that reflects a change in climate and that 
can be deciphered by modern physical or chemic al means. Third, at least some of the material 
must have retained the signal unaffected by subsequent changes in the environment. Fourth, it 
must be possible to determine the time at which the inferred climatic conditions held. This last 
criterion is more easily met in dating marine sediments, because dating of only a small number 
of layers in a marine sequence allows the age of other layers to be estimated fairly reliably by 
extrapolation and interpolation. By contrast, because sedimentation is much less c ontinuous in 
continental regions, estimating the age of a continental bed from the known ages of beds 
above and below is more risky.  
One very old method used in the investigation of past climatic conditions involves the 
measurement of water levels in ancie nt lakes. In temperate regions, there are enough lakes for 
correlations between them to give us a reliable picture. In arid and semiarid regions, on the 
other hand, the small number of lakes and the great distances between them reduce the 
possibilities for  correlation. Moreover, since lake levels are controlled by rates of evaporation as 
well as by precipitation, the interpretation of such levels is ambiguous. For instance, the fact 
that lake levels in the semiarid southwestern United States appear to have been higher during 
the last ice age than they are now was at one time attributed to increased precipitation. On the 
basis of snow -line elevations, however, it has been concluded that the climate then was not 
necessarily wetter than it is now, but rather th at both summers and winters were cooler, 
resulting in reduced evaporation.  
Another problematic method is to reconstruct former climates on the basis of pollen 
profiles. The type of vegetation in a specific region is determined by identifying and counting 
the various pollen grains found there. Although the relationship between vegetation and 
climate is not as direct as the relationship between climate and lake levels, the method often 
works well in the temperate zones. In arid and semiarid regions in which t here is not much 
vegetation, however, small changes in one or a few plant types can change the picture 
dramatically, making accurate correlations between neighboring areas difficult to obtain.","Which of the following statements about the difference betwe en marine and 
continental sedimentation is supported by information in the passage?","{'Choice 0': 'Data provided by dating marine sedimentation is more consistent with \nresearchers findings in other disciplines than is data provided by dating \ncontinental sedimentatio n.', 'Choice 1': 'It is easier to estimate the age of a layer in a sequence of continental \nsedimentation than it is to estimate the age of a layer in a sequence of marine \nsedimentation.   GMAT  71', 'Choice 2': 'Marine sedimentation is much less widespread than continental \nsedimentation.', 'Choice 3': 'Researchers are more often forced to rely on extrapolation when dating a \nlayer of marine sedimentation than when dating a layer of continental \nsedimentation.', 'Choice 4': 'Marine sedimentation is much more continuous than is continental \nsedimentation.'}"
"In choosing a method for determining climatic conditions that existed in the past, 
paleoc limatologists invoke four principal criteria. First, the material rocks, lakes, vegetation, 
etc.on which the method relies must be widespread enough to provide plenty of information, 
since analysis of material that is rarely encountered will not permit co rrelation with other 
regions or with other periods of geological history. Second, in the process of formation, the 
material must have received an environmental signal that reflects a change in climate and that 
can be deciphered by modern physical or chemic al means. Third, at least some of the material 
must have retained the signal unaffected by subsequent changes in the environment. Fourth, it 
must be possible to determine the time at which the inferred climatic conditions held. This last 
criterion is more easily met in dating marine sediments, because dating of only a small number 
of layers in a marine sequence allows the age of other layers to be estimated fairly reliably by 
extrapolation and interpolation. By contrast, because sedimentation is much less c ontinuous in 
continental regions, estimating the age of a continental bed from the known ages of beds 
above and below is more risky.  
One very old method used in the investigation of past climatic conditions involves the 
measurement of water levels in ancie nt lakes. In temperate regions, there are enough lakes for 
correlations between them to give us a reliable picture. In arid and semiarid regions, on the 
other hand, the small number of lakes and the great distances between them reduce the 
possibilities for  correlation. Moreover, since lake levels are controlled by rates of evaporation as 
well as by precipitation, the interpretation of such levels is ambiguous. For instance, the fact 
that lake levels in the semiarid southwestern United States appear to have been higher during 
the last ice age than they are now was at one time attributed to increased precipitation. On the 
basis of snow -line elevations, however, it has been concluded that the climate then was not 
necessarily wetter than it is now, but rather th at both summers and winters were cooler, 
resulting in reduced evaporation.  
Another problematic method is to reconstruct former climates on the basis of pollen 
profiles. The type of vegetation in a specific region is determined by identifying and counting 
the various pollen grains found there. Although the relationship between vegetation and 
climate is not as direct as the relationship between climate and lake levels, the method often 
works well in the temperate zones. In arid and semiarid regions in which t here is not much 
vegetation, however, small changes in one or a few plant types can change the picture 
dramatically, making accurate correlations between neighboring areas difficult to obtain.","Which of the following statements best describes the organization of the passage 
as a whole?","{'Choice 0': 'The author describes a method for determining past climatic conditio ns and \nthen offers specific examples of situations in which it has been used.', 'Choice 1': 'The author discusses the method of dating marine and continental sequences \nand then explains how dating is more difficult with lake levels than with \npollen profiles.', 'Choice 2': 'The author describes the common requirements of methods for determining \npast climatic conditions and then discusses examples of such methods.', 'Choice 3': 'The author describes various ways of choosing a material for determining \npast climatic conditions and then discuss es how two such methods have \nyielded contradictory data.', 'Choice 4': 'The author describes how methods for determining past climatic conditions \nwere first developed and then describes two of the earliest known methods.'}"
"In choosing a method for determining climatic conditions that existed in the past, 
paleoc limatologists invoke four principal criteria. First, the material rocks, lakes, vegetation, 
etc.on which the method relies must be widespread enough to provide plenty of information, 
since analysis of material that is rarely encountered will not permit co rrelation with other 
regions or with other periods of geological history. Second, in the process of formation, the 
material must have received an environmental signal that reflects a change in climate and that 
can be deciphered by modern physical or chemic al means. Third, at least some of the material 
must have retained the signal unaffected by subsequent changes in the environment. Fourth, it 
must be possible to determine the time at which the inferred climatic conditions held. This last 
criterion is more easily met in dating marine sediments, because dating of only a small number 
of layers in a marine sequence allows the age of other layers to be estimated fairly reliably by 
extrapolation and interpolation. By contrast, because sedimentation is much less c ontinuous in 
continental regions, estimating the age of a continental bed from the known ages of beds 
above and below is more risky.  
One very old method used in the investigation of past climatic conditions involves the 
measurement of water levels in ancie nt lakes. In temperate regions, there are enough lakes for 
correlations between them to give us a reliable picture. In arid and semiarid regions, on the 
other hand, the small number of lakes and the great distances between them reduce the 
possibilities for  correlation. Moreover, since lake levels are controlled by rates of evaporation as 
well as by precipitation, the interpretation of such levels is ambiguous. For instance, the fact 
that lake levels in the semiarid southwestern United States appear to have been higher during 
the last ice age than they are now was at one time attributed to increased precipitation. On the 
basis of snow -line elevations, however, it has been concluded that the climate then was not 
necessarily wetter than it is now, but rather th at both summers and winters were cooler, 
resulting in reduced evaporation.  
Another problematic method is to reconstruct former climates on the basis of pollen 
profiles. The type of vegetation in a specific region is determined by identifying and counting 
the various pollen grains found there. Although the relationship between vegetation and 
climate is not as direct as the relationship between climate and lake levels, the method often 
works well in the temperate zones. In arid and semiarid regions in which t here is not much 
vegetation, however, small changes in one or a few plant types can change the picture 
dramatically, making accurate correlations between neighboring areas difficult to obtain.","It can be inferred from the passage that  paleoclimatologists have concluded which 
of the following on the basis of their study of snow -line elevations in the 
southwestern United States?","{'Choice 0': 'There is usually more precipitation during an ice age because of increased \namounts of evaporation.', 'Choice 1': 'The re was less precipitation during the last ice age than there is today.', 'Choice 2': 'Lake levels in the semiarid southwestern United States were lower during the \nlast ice age than they are today.', 'Choice 3': 'During the last ice age, cooler weather led to lower lake levels t han \npaleoclimatologists had previously assumed.', 'Choice 4': 'The high lake levels during the last ice age may have been a result of less \nevaporation rather than more precipitation.'}"
"In choosing a method for determining climatic conditions that existed in the past, 
paleoc limatologists invoke four principal criteria. First, the material rocks, lakes, vegetation, 
etc.on which the method relies must be widespread enough to provide plenty of information, 
since analysis of material that is rarely encountered will not permit co rrelation with other 
regions or with other periods of geological history. Second, in the process of formation, the 
material must have received an environmental signal that reflects a change in climate and that 
can be deciphered by modern physical or chemic al means. Third, at least some of the material 
must have retained the signal unaffected by subsequent changes in the environment. Fourth, it 
must be possible to determine the time at which the inferred climatic conditions held. This last 
criterion is more easily met in dating marine sediments, because dating of only a small number 
of layers in a marine sequence allows the age of other layers to be estimated fairly reliably by 
extrapolation and interpolation. By contrast, because sedimentation is much less c ontinuous in 
continental regions, estimating the age of a continental bed from the known ages of beds 
above and below is more risky.  
One very old method used in the investigation of past climatic conditions involves the 
measurement of water levels in ancie nt lakes. In temperate regions, there are enough lakes for 
correlations between them to give us a reliable picture. In arid and semiarid regions, on the 
other hand, the small number of lakes and the great distances between them reduce the 
possibilities for  correlation. Moreover, since lake levels are controlled by rates of evaporation as 
well as by precipitation, the interpretation of such levels is ambiguous. For instance, the fact 
that lake levels in the semiarid southwestern United States appear to have been higher during 
the last ice age than they are now was at one time attributed to increased precipitation. On the 
basis of snow -line elevations, however, it has been concluded that the climate then was not 
necessarily wetter than it is now, but rather th at both summers and winters were cooler, 
resulting in reduced evaporation.  
Another problematic method is to reconstruct former climates on the basis of pollen 
profiles. The type of vegetation in a specific region is determined by identifying and counting 
the various pollen grains found there. Although the relationship between vegetation and 
climate is not as direct as the relationship between climate and lake levels, the method often 
works well in the temperate zones. In arid and semiarid regions in which t here is not much 
vegetation, however, small changes in one or a few plant types can change the picture 
dramatically, making accurate correlations between neighboring areas difficult to obtain.","Which of the following would be the most likely topic for a paragraph that 
logically continues the passage?","{'Choice 0': 'The kinds of plants normally found in arid regions', 'Choice 1': 'The effect of variation in lake levels on pollen distribution', 'Choice 2': 'The material best suited to preserving signals of climatic changes', 'Choice 3': 'Other criteria invoked by pale oclimatologists when choosing a method to \ndetermine past climatic conditions  72 GMAT, GRE, LSAT', 'Choice 4': 'A third method for investigating past climatic conditions'}"
"In choosing a method for determining climatic conditions that existed in the past, 
paleoc limatologists invoke four principal criteria. First, the material rocks, lakes, vegetation, 
etc.on which the method relies must be widespread enough to provide plenty of information, 
since analysis of material that is rarely encountered will not permit co rrelation with other 
regions or with other periods of geological history. Second, in the process of formation, the 
material must have received an environmental signal that reflects a change in climate and that 
can be deciphered by modern physical or chemic al means. Third, at least some of the material 
must have retained the signal unaffected by subsequent changes in the environment. Fourth, it 
must be possible to determine the time at which the inferred climatic conditions held. This last 
criterion is more easily met in dating marine sediments, because dating of only a small number 
of layers in a marine sequence allows the age of other layers to be estimated fairly reliably by 
extrapolation and interpolation. By contrast, because sedimentation is much less c ontinuous in 
continental regions, estimating the age of a continental bed from the known ages of beds 
above and below is more risky.  
One very old method used in the investigation of past climatic conditions involves the 
measurement of water levels in ancie nt lakes. In temperate regions, there are enough lakes for 
correlations between them to give us a reliable picture. In arid and semiarid regions, on the 
other hand, the small number of lakes and the great distances between them reduce the 
possibilities for  correlation. Moreover, since lake levels are controlled by rates of evaporation as 
well as by precipitation, the interpretation of such levels is ambiguous. For instance, the fact 
that lake levels in the semiarid southwestern United States appear to have been higher during 
the last ice age than they are now was at one time attributed to increased precipitation. On the 
basis of snow -line elevations, however, it has been concluded that the climate then was not 
necessarily wetter than it is now, but rather th at both summers and winters were cooler, 
resulting in reduced evaporation.  
Another problematic method is to reconstruct former climates on the basis of pollen 
profiles. The type of vegetation in a specific region is determined by identifying and counting 
the various pollen grains found there. Although the relationship between vegetation and 
climate is not as direct as the relationship between climate and lake levels, the method often 
works well in the temperate zones. In arid and semiarid regions in which t here is not much 
vegetation, however, small changes in one or a few plant types can change the picture 
dramatically, making accurate correlations between neighboring areas difficult to obtain.",The author discusses lake levels in the southwestern United States in order to,"{'Choice 0': 'illustrate the mechanics of the relationship between lake level, evaporation, \nand precipitation', 'Choice 1': 'prov ide an example of the uncertainty involved in interpreting lake levels', 'Choice 2': 'prove that there are not enough ancient lakes with which to make accurate \ncorrelations', 'Choice 3': 'explain the effects of increased rates of evaporation on levels of precipitation', 'Choice 4': 'su ggest that snow -line elevations are invariably more accurate than lake \nlevels in determining rates of precipitation at various points in the past'}"
"In choosing a method for determining climatic conditions that existed in the past, 
paleoc limatologists invoke four principal criteria. First, the material rocks, lakes, vegetation, 
etc.on which the method relies must be widespread enough to provide plenty of information, 
since analysis of material that is rarely encountered will not permit co rrelation with other 
regions or with other periods of geological history. Second, in the process of formation, the 
material must have received an environmental signal that reflects a change in climate and that 
can be deciphered by modern physical or chemic al means. Third, at least some of the material 
must have retained the signal unaffected by subsequent changes in the environment. Fourth, it 
must be possible to determine the time at which the inferred climatic conditions held. This last 
criterion is more easily met in dating marine sediments, because dating of only a small number 
of layers in a marine sequence allows the age of other layers to be estimated fairly reliably by 
extrapolation and interpolation. By contrast, because sedimentation is much less c ontinuous in 
continental regions, estimating the age of a continental bed from the known ages of beds 
above and below is more risky.  
One very old method used in the investigation of past climatic conditions involves the 
measurement of water levels in ancie nt lakes. In temperate regions, there are enough lakes for 
correlations between them to give us a reliable picture. In arid and semiarid regions, on the 
other hand, the small number of lakes and the great distances between them reduce the 
possibilities for  correlation. Moreover, since lake levels are controlled by rates of evaporation as 
well as by precipitation, the interpretation of such levels is ambiguous. For instance, the fact 
that lake levels in the semiarid southwestern United States appear to have been higher during 
the last ice age than they are now was at one time attributed to increased precipitation. On the 
basis of snow -line elevations, however, it has been concluded that the climate then was not 
necessarily wetter than it is now, but rather th at both summers and winters were cooler, 
resulting in reduced evaporation.  
Another problematic method is to reconstruct former climates on the basis of pollen 
profiles. The type of vegetation in a specific region is determined by identifying and counting 
the various pollen grains found there. Although the relationship between vegetation and 
climate is not as direct as the relationship between climate and lake levels, the method often 
works well in the temperate zones. In arid and semiarid regions in which t here is not much 
vegetation, however, small changes in one or a few plant types can change the picture 
dramatically, making accurate correlations between neighboring areas difficult to obtain.","It can be inferred from the passage that an environmental signal found in 
geological material would not be useful to paleoclimatologists if it","{'Choice 0': 'had to be interpreted by modern chemical means', 'Choice 1': 'reflected a change in climate rather than a long -term climatic condition', 'Choice 2': 'was incorporated into a material as the material was forming', 'Choice 3': 'also reflected subseque nt environmental changes', 'Choice 4': 'was contained in a continental rather than a marine sequence'}"
"In choosing a method for determining climatic conditions that existed in the past, 
paleoc limatologists invoke four principal criteria. First, the material rocks, lakes, vegetation, 
etc.on which the method relies must be widespread enough to provide plenty of information, 
since analysis of material that is rarely encountered will not permit co rrelation with other 
regions or with other periods of geological history. Second, in the process of formation, the 
material must have received an environmental signal that reflects a change in climate and that 
can be deciphered by modern physical or chemic al means. Third, at least some of the material 
must have retained the signal unaffected by subsequent changes in the environment. Fourth, it 
must be possible to determine the time at which the inferred climatic conditions held. This last 
criterion is more easily met in dating marine sediments, because dating of only a small number 
of layers in a marine sequence allows the age of other layers to be estimated fairly reliably by 
extrapolation and interpolation. By contrast, because sedimentation is much less c ontinuous in 
continental regions, estimating the age of a continental bed from the known ages of beds 
above and below is more risky.  
One very old method used in the investigation of past climatic conditions involves the 
measurement of water levels in ancie nt lakes. In temperate regions, there are enough lakes for 
correlations between them to give us a reliable picture. In arid and semiarid regions, on the 
other hand, the small number of lakes and the great distances between them reduce the 
possibilities for  correlation. Moreover, since lake levels are controlled by rates of evaporation as 
well as by precipitation, the interpretation of such levels is ambiguous. For instance, the fact 
that lake levels in the semiarid southwestern United States appear to have been higher during 
the last ice age than they are now was at one time attributed to increased precipitation. On the 
basis of snow -line elevations, however, it has been concluded that the climate then was not 
necessarily wetter than it is now, but rather th at both summers and winters were cooler, 
resulting in reduced evaporation.  
Another problematic method is to reconstruct former climates on the basis of pollen 
profiles. The type of vegetation in a specific region is determined by identifying and counting 
the various pollen grains found there. Although the relationship between vegetation and 
climate is not as direct as the relationship between climate and lake levels, the method often 
works well in the temperate zones. In arid and semiarid regions in which t here is not much 
vegetation, however, small changes in one or a few plant types can change the picture 
dramatically, making accurate correlations between neighboring areas difficult to obtain.","According to the passage, the material used to determine past climatic conditions 
must be widespread for which of the following reasons?  
I. Paleoclimatologists need to make comparisons between periods of 
geological history.  
II. Paleoclimatologists need to compare materials that have supported a wide 
variety of vegetation.  
III. Paleoclimatologists need to make comparisons with data collected in other 
regions.","{'Choice 0': 'I only', 'Choice 1': 'II only', 'Choice 2': 'I and II only', 'Choice 3': 'I and III only', 'Choice 4': 'II and III only'}"
"In choosing a method for determining climatic conditions that existed in the past, 
paleoc limatologists invoke four principal criteria. First, the material rocks, lakes, vegetation, 
etc.on which the method relies must be widespread enough to provide plenty of information, 
since analysis of material that is rarely encountered will not permit co rrelation with other 
regions or with other periods of geological history. Second, in the process of formation, the 
material must have received an environmental signal that reflects a change in climate and that 
can be deciphered by modern physical or chemic al means. Third, at least some of the material 
must have retained the signal unaffected by subsequent changes in the environment. Fourth, it 
must be possible to determine the time at which the inferred climatic conditions held. This last 
criterion is more easily met in dating marine sediments, because dating of only a small number 
of layers in a marine sequence allows the age of other layers to be estimated fairly reliably by 
extrapolation and interpolation. By contrast, because sedimentation is much less c ontinuous in 
continental regions, estimating the age of a continental bed from the known ages of beds 
above and below is more risky.  
One very old method used in the investigation of past climatic conditions involves the 
measurement of water levels in ancie nt lakes. In temperate regions, there are enough lakes for 
correlations between them to give us a reliable picture. In arid and semiarid regions, on the 
other hand, the small number of lakes and the great distances between them reduce the 
possibilities for  correlation. Moreover, since lake levels are controlled by rates of evaporation as 
well as by precipitation, the interpretation of such levels is ambiguous. For instance, the fact 
that lake levels in the semiarid southwestern United States appear to have been higher during 
the last ice age than they are now was at one time attributed to increased precipitation. On the 
basis of snow -line elevations, however, it has been concluded that the climate then was not 
necessarily wetter than it is now, but rather th at both summers and winters were cooler, 
resulting in reduced evaporation.  
Another problematic method is to reconstruct former climates on the basis of pollen 
profiles. The type of vegetation in a specific region is determined by identifying and counting 
the various pollen grains found there. Although the relationship between vegetation and 
climate is not as direct as the relationship between climate and lake levels, the method often 
works well in the temperate zones. In arid and semiarid regions in which t here is not much 
vegetation, however, small changes in one or a few plant types can change the picture 
dramatically, making accurate correlations between neighboring areas difficult to obtain.","Which of the following can be inferred from the passage about the study of past 
climates in arid and semiarid regions?","{'Choice 0': 'It is sometimes more difficult to determine past climatic conditions in arid \nand semiarid regions than in temperate regions.', 'Choice 1': 'Although in the past more research has been done on temperate regions, \npaleoclimatologists have recently turned their attention to arid and semiarid \nregions.', 'Choice 2': 'Although more information about past climates can be gathered in arid a nd  GMAT  73 \n semiarid than in temperate regions, dating this information is more difficult.', 'Choice 3': 'It is difficult to study the climatic history of arid and semiarid regions \nbecause their climates have tended to vary more than those of temperate \nregions.', 'Choice 4': 'The study of past climates in arid and semiarid regions has been neglected \nbecause temperate regions support a greater variety of plant and animal life.'}"
"Since the late 1970s, in the face of a severe loss of market share  in dozens of industries, 
manufacturers in the United States have been trying to improve productivity and therefore 
enhance their international competitiveness through cost -cutting programs. (Cost -cutting 
here is defined as raising labor  output while holding the amount of labor constant.) However, 
from 1978 through 1982, productivity the value of goods manufactured divided by the amount 
of labor input did not improve; and while the results were better in the business upturn of the 
three y ears following, they ran 25 percent lower than productivity improvements during earlier, 
post-1945 upturns. At the same time, it became clear that the harder manufactures worked to 
implement cost -cutting, the more they lost their competitive edge.  
With thi s paradox in mind, I recently visited 25 companies; it became clear to me that the 
cost-cutting approach to increasing productivity is fundamentally flawed. Manufacturing 
regularly observes a 40, 40, 20 rule. Roughly 40 percent of any manufacturing -based  
competitive advantage derives from long -term changes in manufacturing structure  (decisions 
about the number, size, location, and capacity of facilities) and in approaches to materials. 
Another 40 percent comes from major changes in equipment and process t echnology. The final 
20 percent rests on implementing conventional cost -cutting. This rule does not imply that 
cost-cutting should not be tried. The well -known tools of this approach including simplifying 
jobs and retraining employees to work smarter, not harder do produce results. But the tools 
quickly reach the limits of what they can contribute.  
Another problem is that the cost -cutting approach hinders innovation and discourages 
creative people. As Abernathys study of automobile manufacturers has shown,  an industry can 
easily become prisoner of its own investments in cost -cutting techniques, reducing its ability to 
develop new products. And managers under pressure to maximize cost -cutting will resist 
innovation because they know that more fundamental cha nges in processes or systems will 
wreak  havoc with the results on which they are measured. Production managers have always 
seen their job as one of minimizing costs and maximizing output. This dimension of 
performance has  until recently sufficed as a basis of evaluation, but it has created a 
penny -pinching , mechanistic culture in most factories that has kept away creative managers.  
Every company I know that has freed itself from the paradox has done so, in part, by 
developing and implementing a manufacturing strategy. Such a strategy focuses on the 
manufacturing structure and on equipment and process technology. In one company a 
manufacturing strategy that allowed different areas of the factory to spe cialize in different 
markets replaced the conventional cost -cutting approach; within three years the company 
regained its competitive advantage. Together with such strategies, successful companies are 74 GMAT, GRE, LSAT    
 also encouraging managers to focus on a wider set of ob jectives besides cutting costs. There is 
hope for manufacturing, but it clearly rests on a different way of managing.",The author of the passage is primarily concerned with,"{'Choice 0': 'summarizing a thesis', 'Choice 1': 'recommending a different approach', 'Choice 2': 'comparing poin ts of view', 'Choice 3': 'making a series of predictions', 'Choice 4': 'describing a number of paradoxes'}"
"Since the late 1970s, in the face of a severe loss of market share  in dozens of industries, 
manufacturers in the United States have been trying to improve productivity and therefore 
enhance their international competitiveness through cost -cutting programs. (Cost -cutting 
here is defined as raising labor  output while holding the amount of labor constant.) However, 
from 1978 through 1982, productivity the value of goods manufactured divided by the amount 
of labor input did not improve; and while the results were better in the business upturn of the 
three y ears following, they ran 25 percent lower than productivity improvements during earlier, 
post-1945 upturns. At the same time, it became clear that the harder manufactures worked to 
implement cost -cutting, the more they lost their competitive edge.  
With thi s paradox in mind, I recently visited 25 companies; it became clear to me that the 
cost-cutting approach to increasing productivity is fundamentally flawed. Manufacturing 
regularly observes a 40, 40, 20 rule. Roughly 40 percent of any manufacturing -based  
competitive advantage derives from long -term changes in manufacturing structure  (decisions 
about the number, size, location, and capacity of facilities) and in approaches to materials. 
Another 40 percent comes from major changes in equipment and process t echnology. The final 
20 percent rests on implementing conventional cost -cutting. This rule does not imply that 
cost-cutting should not be tried. The well -known tools of this approach including simplifying 
jobs and retraining employees to work smarter, not harder do produce results. But the tools 
quickly reach the limits of what they can contribute.  
Another problem is that the cost -cutting approach hinders innovation and discourages 
creative people. As Abernathys study of automobile manufacturers has shown,  an industry can 
easily become prisoner of its own investments in cost -cutting techniques, reducing its ability to 
develop new products. And managers under pressure to maximize cost -cutting will resist 
innovation because they know that more fundamental cha nges in processes or systems will 
wreak  havoc with the results on which they are measured. Production managers have always 
seen their job as one of minimizing costs and maximizing output. This dimension of 
performance has  until recently sufficed as a basis of evaluation, but it has created a 
penny -pinching , mechanistic culture in most factories that has kept away creative managers.  
Every company I know that has freed itself from the paradox has done so, in part, by 
developing and implementing a manufacturing strategy. Such a strategy focuses on the 
manufacturing structure and on equipment and process technology. In one company a 
manufacturing strategy that allowed different areas of the factory to spe cialize in different 
markets replaced the conventional cost -cutting approach; within three years the company 
regained its competitive advantage. Together with such strategies, successful companies are 74 GMAT, GRE, LSAT    
 also encouraging managers to focus on a wider set of ob jectives besides cutting costs. There is 
hope for manufacturing, but it clearly rests on a different way of managing.","It can be inferred from the passage that the manufactu rers mentioned in line 2 
expected that the measures they implemented would","{'Choice 0': 'encourage innovation', 'Choice 1': 'keep labo r output constant', 'Choice 2': 'increase their competitive advantage', 'Choice 3': 'permit business upturns to be more easily predicted', 'Choice 4': 'cause managers to focus on a wider set of objectives'}"
